id,category,source,contract_name
1,hash_preimage,hash_preimage/contracts/FindThisHash.sol,FindThisHash
2,TOD,TOD/contracts/buggy_1.sol,TODVulnerable
3,TOD,TOD/contracts/eth_tx_order_dependence_minimal.sol,EthTxOrderDependenceMinimal
4,TOD,TOD/contracts/odds_and_evens.sol,OddsAndEvens
5,access,access/contracts/DelegationVault.sol,DelegationVault
6,arithmetic,arithmetic/contracts/BECToken.sol,BecToken
7,arithmetic,arithmetic/contracts/timelock.sol,TimeLock
8,arithmetic,arithmetic/contracts/token.sol,Token
9,arithmetic,arithmetic/contracts/tokensalechallenge.sol,TokenSaleChallenge
10,bad_randomness,bad_randomness/contracts/blackjack.sol,BlackJack
11,bad_randomness,bad_randomness/contracts/etheraffle.sol,Ethraffle_v4b
12,bad_randomness,bad_randomness/contracts/guess_the_random_number.sol,GuessTheRandomNumberChallenge
13,bad_randomness,bad_randomness/contracts/lucky_doubler.sol,LuckyDoubler
14,bad_randomness,bad_randomness/contracts/old_blockhash.sol,PredictTheBlockHashChallenge
15,bad_randomness,bad_randomness/contracts/smart_billions.sol,SmartBillions
16,bad_randomness,bad_randomness/contracts/theRun.sol,theRun
17,bad_randomness,bad_randomness/contracts/vulnerableBlockHashGame.sol,vulnerableBlockHashGame
18,gasless_send,gasless_send/contracts/CreditDepositBank_Attack.sol,CreditDepositBank
19,gasless_send,gasless_send/contracts/GaslessSendVault.sol,GaslessSendVault
20,reentrancy,reentrancy/contracts/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,PERSONAL_BANK
21,reentrancy,reentrancy/contracts/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.sol,PrivateBank
22,reentrancy,reentrancy/contracts/0x7541b76cb60f4c60af330c208b0623b7f54bf615.sol,U_BANK
23,reentrancy,reentrancy/contracts/0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol,PrivateDeposit
24,reentrancy,reentrancy/contracts/0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.sol,W_WALLET
25,reentrancy,reentrancy/contracts/0x8c7777c45481dba411450c228cb692ac3d550344.sol,ETH_VAULT
26,reentrancy,reentrancy/contracts/0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,ETH_FUND
27,reentrancy,reentrancy/contracts/0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,PENNY_BY_PENNY
28,reentrancy,reentrancy/contracts/0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.sol,Private_Bank
29,reentrancy,reentrancy/contracts/etherbank.sol,EtherBank
30,reentrancy,reentrancy/contracts/etherstore.sol,EtherStore
31,reentrancy,reentrancy/contracts/reentrance.sol,Reentrance
32,reentrancy,reentrancy/contracts/reentrancy_dao.sol,ReentrancyDAO
33,reentrancy,reentrancy/contracts/reentrancy_simple.sol,Reentrance
34,reentrancy,reentrancy/contracts/simple_dao.sol,SimpleDAO
35,time_manipulation,time_manipulation/contracts/AZT.sol,AZT
36,time_manipulation,time_manipulation/contracts/HotDollarsToken.sol,HotDollarsToken
37,time_manipulation,time_manipulation/contracts/TAMContract.sol,TAMCContract
38,time_manipulation,time_manipulation/contracts/ether_lotto.sol,EtherLotto
39,time_manipulation,time_manipulation/contracts/lottopollo.sol,lottopollo
40,time_manipulation,time_manipulation/contracts/roulette.sol,Roulette
41,unsafe_delegatecall,unsafe_delegatecall/contracts/Delegation.sol,Delegation
42,unsafe_suicide,unsafe_suicide/contracts/SuicideMultiTxFeasible.sol,SuicideMultiTxFeasible
43,unsafe_suicide,unsafe_suicide/contracts/simple_suicide.sol,SimpleSuicide
